Country,Income_Level,Product,Processing_Level,US_Export_Value,Partner_Country_Total_Imports
Mexico,Middle,Soybeans,Raw,50000000,120000000
Mexico,Middle,Soybeans,Semi-Processed,20000000,80000000
Mexico,Middle,Soybeans,Processed,10000000,40000000
Mexico,Middle,Corn,Raw,30000000,90000000
Mexico,Middle,Corn,Semi-Processed,15000000,50000000
Mexico,Middle,Corn,Processed,8000000,30000000
Brazil,Middle,Soybeans,Raw,40000000,110000000
Brazil,Middle,Soybeans,Semi-Processed,18000000,60000000
Brazil,Middle,Soybeans,Processed,9000000,35000000
Brazil,Middle,Corn,Raw,35000000,95000000
Brazil,Middle,Corn,Semi-Processed,16000000,55000000
Brazil,Middle,Corn,Processed,8500000,32000000
China,Middle,Soybeans,Raw,60000000,180000000
China,Middle,Soybeans,Semi-Processed,30000000,100000000
China,Middle,Soybeans,Processed,15000000,60000000
China,Middle,Wheat,Raw,25000000,80000000
China,Middle,Wheat,Semi-Processed,12000000,40000000
China,Middle,Wheat,Processed,6000000,20000000
India,Middle,Rice,Raw,20000000,80000000
India,Middle,Rice,Semi-Processed,10000000,40000000
India,Middle,Rice,Processed,5000000,20000000
India,Middle,Wheat,Raw,15000000,60000000
India,Middle,Wheat,Semi-Processed,8000000,30000000
India,Middle,Wheat,Processed,4000000,15000000
